%time,field
1580981248163876056,300.98
1580981248662144899,300.98
1580981249155002117,300.98
1580981249669682979,300.9798
1580981250161109924,300.9798
1580981250656717061,300.9797
1580981251172626018,300.9797
1580981251663984060,300.9796
1580981252161804914,300.9796
1580981252655334949,300.9796
1580981253166800975,300.9796
1580981253665184020,300.9794
1580981254158610105,300.9794
1580981254656826019,300.9792
1580981255164495944,300.9792
1580981255661351919,300.979
1580981256160753965,300.979
1580981256654309988,300.9787
1580981257165193080,300.9787
1580981257658832073,300.9784
1580981258155262947,300.9784
1580981258668062925,300.978
1580981259160896062,300.978
1580981259659966945,300.9775
1580981260167375087,300.9775
1580981260662595987,300.9771
1580981261163237094,300.9771
1580981261655457019,300.9765
1580981262167759895,300.9765
1580981262661415100,300.976
1580981263157300949,300.976
1580981263672502994,300.9754
1580981264165580987,300.9754
1580981264661178112,300.9748
1580981265155138969,300.9748
1580981265666747093,300.9741
1580981266164258956,300.9741
1580981266660686016,300.9734
1580981267156671047,300.9734
1580981267668088912,300.9726
1580981268160650014,300.9726
1580981268657484054,300.9717
1580981269171359062,300.9717
1580981269664417028,300.9708
1580981270159493923,300.9708
1580981270669876098,300.9698
1580981271167217016,300.9698
1580981271664774894,300.9688
1580981272159266948,300.9688
1580981272671952009,300.9678
1580981273163455963,300.9678
1580981273661566972,300.9667
1580981274156821966,300.9667
1580981274667304039,300.9657
1580981275163826942,300.9657
1580981275657416105,300.9646
1580981276156086921,300.9646
1580981276667798042,300.9635
1580981277160443067,300.9635
1580981277656958103,300.9625
1580981278166543006,300.9625
1580981278663224935,300.9614
1580981279161556005,300.9614
1580981279654966115,300.9604
1580981280167292118,300.9604
1580981280660623073,300.9594
1580981281158551931,300.9594
1580981281656267881,300.9584
1580981282164060115,300.9584
1580981282660482883,300.9575
1580981283153882980,300.9575
1580981283667593955,300.9566
1580981284163326025,300.9566
1580981284657416105,300.9558
1580981285154505014,300.9558
1580981285663551092,300.955
1580981286160681962,300.955
1580981286657042026,300.9543
1580981287166246891,300.9543
1580981287663149118,300.9537
1580981288157402992,300.9537
1580981288655352115,300.9531
1580981289167489051,300.9531
1580981289659910917,300.9526
1580981290158170938,300.9526
1580981290666148900,300.9522
1580981291162002086,300.9522
1580981291662497043,300.9518
1580981292169457912,300.9518
1580981292667304992,300.9515
1580981293159738063,300.9515
1580981293656014919,300.9512
1580981294170706033,300.9512
1580981294663532972,300.9511
1580981295161829948,300.9511
1580981295654494047,300.951
1580981296165390014,300.951
1580981296663877964,300.9511
1580981297156831979,300.9511
1580981297668787956,300.9513
1580981298164721012,300.9513
1580981298659065008,300.9517
1580981299171673059,300.9517
1580981299666533946,300.9522
1580981300164740085,300.9522
1580981300657135963,300.9527
1580981301167975902,300.9527
1580981301666070938,300.9533
1580981302162898063,300.9533
1580981302671325922,300.9539
1580981303168709039,300.9539
1580981303661583900,300.9545
1580981304160939931,300.9545
1580981304672218084,300.9551
1580981305166309118,300.9551
1580981305661408901,300.9557
1580981306171128034,300.9557
1580981306668875932,300.9564
1580981307165709018,300.9564
1580981307660713911,300.9571
1580981308171128988,300.9571
1580981308665319919,300.9579
1580981309164695978,300.9579
1580981309659282922,300.9591
1580981310170237064,300.9591
1580981310665715932,300.9602
1580981311158417940,300.9602
1580981311672636985,300.9614
1580981312171725988,300.9614
1580981312663312911,300.9627
1580981313177997112,300.9627
1580981313668333053,300.9639
1580981314165841102,300.9639
1580981314662066936,300.965
1580981315173192977,300.965
1580981315669178962,300.9662
1580981316161679029,300.9662
1580981316658416986,300.9675
1580981317172442913,300.9675
1580981317665914058,300.9689
1580981318162201881,300.9689
1580981318671396970,300.9703
1580981319167946100,300.9703
1580981319665709018,300.9717
1580981320160573959,300.9717
1580981320674297094,300.9731
1580981321164951086,300.9731
1580981321664172887,300.9745
1580981322176242113,300.9745
1580981322668742895,300.9759
1580981323166522026,300.9759
1580981323659308910,300.9773
1580981324170394897,300.9773
1580981324671653985,300.9787
1580981325162328004,300.9787
1580981325675148010,300.98
1580981326168292045,300.98
1580981326666059970,300.9813
1580981327161583900,300.9813
1580981327671869039,300.9826
1580981328168510913,300.9826
1580981328661778926,300.9838
1580981329173643112,300.9838
1580981329673542976,300.985
1580981330165424108,300.985
1580981330663189888,300.9863
1580981331173084974,300.9863
1580981331667119026,300.9875
1580981332164804935,300.9875
1580981332677524089,300.9887
1580981333171766996,300.9887
1580981333665580034,300.9898
1580981334160701990,300.9898
1580981334675750017,300.9908
1580981335170423984,300.9908
1580981335666140079,300.9919
1580981336158967018,300.9919
1580981336670018911,300.9932
1580981337168507099,300.9932
1580981337662612915,300.9945
1580981338176687002,300.9945
1580981338667963027,300.9959
1580981339164547920,300.9959
1580981339678404092,300.9973
1580981340171004056,300.9973
1580981340669821977,300.9987
1580981341162296056,300.9987
1580981341673058032,300.9999
1580981342171646118,300.9999
1580981342667175054,301.001
1580981343163888931,301.001
1580981343671449899,301.0021
1580981344166533946,301.0021
1580981344666990995,301.0031
1580981345176165103,301.0031
1580981345674627065,301.0042
1580981346164860963,301.0042
1580981346676367998,301.0052
1580981347174211025,301.0052
1580981347671842098,301.0062
1580981348165805101,301.0062
1580981348660331964,301.0073
1580981349170324087,301.0073
1580981349667558908,301.0084
1580981350164309978,301.0084
1580981350676311969,301.0094
1580981351170658111,301.0094
1580981351664000988,301.0105
1580981352161175966,301.0105
1580981352674527883,301.0115
1580981353166035890,301.0115
1580981353664207935,301.0125
1580981354173213958,301.0125
1580981354671639919,301.0136
1580981355168533086,301.0136
1580981355678364038,301.0146
1580981356174372911,301.0146
1580981356667252063,301.0156
1580981357165131092,301.0156
1580981357675699949,301.0165
1580981358172184944,301.0165
1580981358669986963,301.0175
1580981359160439968,301.0175
1580981359672703981,301.0185
1580981360170634031,301.0185
1580981360666980028,301.0195
1580981361177561998,301.0195
1580981361669766902,301.0205
1580981362166395902,301.0205
1580981362679476976,301.0215
1580981363174455881,301.0215
1580981363672872066,301.0225
1580981364163634061,301.0225
